Common name,Scientific name,Status,No.,No. Back
White-crowned Lapwing,Vanellus albiceps,,15,5
Senegal Lapwing,Vanellus lugubris,,14,0
Black-winged Lapwing,Vanellus melanopterus,,25,1
Crowned Lapwing,Vanellus coronatus,,79,18
African Wattled Lapwing,Vanellus senegallus,,75,12
Spot-breasted Lapwing,Vanellus melanocephalus,,17,2
Brown-chested Lapwing,Vanellus superciliosus,,3,0
Grey-headed Lapwing,Vanellus cinereus,,19,2
Red-wattled Lapwing,Vanellus indicus,,182,102
Javan Lapwing,Vanellus macropterus,Extinct,0,0
Banded Lapwing,Vanellus tricolor,,14,1
Masked Lapwing,Vanellus miles,,67,80
Sociable Lapwing,Vanellus gregarius,,9,1
White-tailed Lapwing,Vanellus leucurus,,42,8
Southern Lapwing,Vanellus chilensis,,334,505
Andean Lapwing,Vanellus resplendens,,60,13
Red-kneed Dotterel,Erythrogonys cinctus,,3,0
Inland Dotterel,Peltohyas australis,,4,0
Wrybill,Anarhynchus frontalis,,10,0
European Golden Plover,Pluvialis apricaria,,997,165
Pacific Golden Plover,Pluvialis fulva,,168,10
American Golden Plover,Pluvialis dominica,,117,4
Grey Plover,Pluvialis squatarola,,558,146
New Zealand Plover,Charadrius obscurus,,4,0
Common Ringed Plover,Charadrius hiaticula,,849,266
Semipalmated Plover,Charadrius semipalmatus,,142,26
Long-billed Plover,Charadrius placidus,,10,0
Little Ringed Plover,Charadrius dubius,,965,139
Wilson's Plover,Charadrius wilsonia,,70,8
Killdeer,Charadrius vociferus,,285,427
Piping Plover,Charadrius melodus,,25,2
Madagascar Plover,Charadrius thoracicus,,6,0
Kittlitz's Plover,Charadrius pecuarius,,17,0
St. Helena Plover,Charadrius sanctaehelenae,,1,0
Three-banded Plover,Charadrius tricollaris,,46,9
Forbes's Plover,Charadrius forbesi,,14,0
White-fronted Plover,Charadrius marginatus,,17,0
Kentish Plover,Charadrius alexandrinus,,272,62
White-faced Plover,Charadrius dealbatus,,2,1
Snowy Plover,Charadrius nivosus,,36,3
Javan Plover,Charadrius javanicus,,7,0
Red-capped Plover,Charadrius ruficapillus,,13,3
Malaysian Plover,Charadrius peronii,,3,0
Chestnut-banded Plover,Charadrius pallidus,,9,0
Collared Plover,Charadrius collaris,,52,11
Puna Plover,Charadrius alticola,,10,0
Two-banded Plover,Charadrius falklandicus,,11,1
Double-banded Plover,Charadrius bicinctus,,15,2
Lesser Sand Plover,Charadrius mongolus,,57,12
Greater Sand Plover,Charadrius leschenaultii,,50,2
Caspian Plover,Charadrius asiaticus,,2,0
Oriental Plover,Charadrius veredus,,16,0
Eurasian Dotterel,Charadrius morinellus,,243,5
Rufous-chested Plover,Charadrius modestus,,30,0
Mountain Plover,Charadrius montanus,,7,0
Hooded Dotterel,Thinornis cucullatus,,2,0
Shore Dotterel,Thinornis novaeseelandiae,,3,0
Black-fronted Dotterel,Elseyornis melanops,,31,11
Tawny-throated Dotterel,Oreopholus ruficollis,,17,0
Diademed Sandpiper-Plover,Phegornis mitchellii,,22,0
Pied Plover,Hoploxypterus cayanus,,42,4
Egyptian Plover,Pluvianus aegyptius,,16,2
Greater Painted-snipe,Rostratula benghalensis,,19,1
Australian Painted-snipe,Rostratula australis,,0,0
South American Painted-snipe,Nycticryphes semicollaris,,4,0
Lesser Jacana,Microparra capensis,,3,0
African Jacana,Actophilornis africanus,,49,7
Madagascar Jacana,Actophilornis albinucha,,1,0
Comb-crested Jacana,Irediparra gallinacea,,12,4
Pheasant-tailed Jacana,Hydrophasianus chirurgus,,26,1
Bronze-winged Jacana,Metopidius indicus,,26,1
Northern Jacana,Jacana spinosa,,67,13
Wattled Jacana,Jacana jacana,,166,78
Plains-wanderer,Pedionomus torquatus,,1,0
Rufous-bellied Seedsnipe,Attagis gayi,,47,2
White-bellied Seedsnipe,Attagis malouinus,,11,0
Grey-breasted Seedsnipe,Thinocorus orbignyianus,,30,3
Least Seedsnipe,Thinocorus rumicivorus,,20,0
Upland Sandpiper,Bartramia longicauda,,92,9
Bristle-thighed Curlew,Numenius tahitiensis,,40,8
Eurasian Whimbrel,Numenius phaeopus,,996,148
Hudsonian Whimbrel,Numenius hudsonicus,,133,22
Little Curlew,Numenius minutus,,9,1
Eskimo Curlew,Numenius borealis,,0,0
Long-billed Curlew,Numenius americanus,,94,23
Far Eastern Curlew,Numenius madagascariensis,,19,5
Slender-billed Curlew,Numenius tenuirostris,,2,0
Eurasian Curlew,Numenius arquata,,1494,958
Bar-tailed Godwit,Limosa lapponica,,221,28
Black-tailed Godwit,Limosa limosa,,477,213
Hudsonian Godwit,Limosa haemastica,,16,2
Marbled Godwit,Limosa fedoa,,89,42
Ruddy Turnstone,Arenaria interpres,,380,78
Black Turnstone,Arenaria melanocephala,,41,7
Tuamotu Sandpiper,Prosobonia parvirostris,,9,2
Kiritimati Sandpiper,Prosobonia cancellata,Extinct,0,0
Tahiti Sandpiper,Prosobonia leucoptera,Extinct,0,0
Moorea Sandpiper,Prosobonia ellisi,Extinct,0,0
Great Knot,Calidris tenuirostris,,4,3
Red Knot,Calidris canutus,,192,19
Surfbird,Calidris virgata,,34,8
Ruff,Calidris pugnax,,43,9
Broad-billed Sandpiper,Calidris falcinellus,,72,6
Sharp-tailed Sandpiper,Calidris acuminata,,10,1
Stilt Sandpiper,Calidris himantopus,,45,9
Curlew Sandpiper,Calidris ferruginea,,153,30
Temminck's Stint,Calidris temminckii,,161,24
Long-toed Stint,Calidris subminuta,,20,1
Spoon-billed Sandpiper,Calidris pygmaea,,7,0
Red-necked Stint,Calidris ruficollis,,41,3
Sanderling,Calidris alba,,237,57
Dunlin,Calidris alpina,,922,336
Rock Sandpiper,Calidris ptilocnemis,,29,3
Purple Sandpiper,Calidris maritima,,70,12
Baird's Sandpiper,Calidris bairdii,,98,9
Little Stint,Calidris minuta,,142,32
Least Sandpiper,Calidris minutilla,,136,51
White-rumped Sandpiper,Calidris fuscicollis,,64,12
Buff-breasted Sandpiper,Calidris subruficollis,,11,0
Pectoral Sandpiper,Calidris melanotos,,143,35
Semipalmated Sandpiper,Calidris pusilla,,114,37
Western Sandpiper,Calidris mauri,,49,7
Asian Dowitcher,Limnodromus semipalmatus,,7,2
Long-billed Dowitcher,Limnodromus scolopaceus,,104,41
Short-billed Dowitcher,Limnodromus griseus,,41,4
Eurasian Woodcock,Scolopax rusticola,,829,191
Amami Woodcock,Scolopax mira,,3,0
Javan Woodcock,Scolopax saturata,,2,0
New Guinea Woodcock,Scolopax rosenbergii,,11,0
Bukidnon Woodcock,Scolopax bukidnonensis,,26,0
Sulawesi Woodcock,Scolopax celebensis,,0,0
Moluccan Woodcock,Scolopax rochussenii,,4,0
American Woodcock,Scolopax minor,,145,21
Chatham Snipe,Coenocorypha pusilla,,2,5
North Island Snipe,Coenocorypha barrierensis,Extinct,0,0
South Island Snipe,Coenocorypha iredalei,Extinct,0,0
Snares Snipe,Coenocorypha huegeli,,1,1
Subantarctic Snipe,Coenocorypha aucklandica,,0,0
Jack Snipe,Lymnocryptes minimus,,128,14
Solitary Snipe,Gallinago solitaria,,10,1
Latham's Snipe,Gallinago hardwickii,,29,2
Wood Snipe,Gallinago nemoricola,,12,0
Pin-tailed Snipe,Gallinago stenura,,77,6
Swinhoe's Snipe,Gallinago megala,,41,8
African Snipe,Gallinago nigripennis,,18,7
Madagascar Snipe,Gallinago macrodactyla,,12,0
Great Snipe,Gallinago media,,147,19
Common Snipe,Gallinago gallinago,,1579,977
Wilson's Snipe,Gallinago delicata,,203,267
South American Snipe,Gallinago paraguaiae,,66,12
Magellanic Snipe,Gallinago magellanica,,24,1
Puna Snipe,Gallinago andina,,11,2
Noble Snipe,Gallinago nobilis,,41,7
Giant Snipe,Gallinago undulata,,95,2
Fuegian Snipe,Gallinago stricklandii,,11,0
Jameson's Snipe,Gallinago jamesoni,,55,5
Imperial Snipe,Gallinago imperialis,,27,8
Terek Sandpiper,Xenus cinereus,,118,28
Wilson's Phalarope,Phalaropus tricolor,,30,23
Red-necked Phalarope,Phalaropus lobatus,,150,24
Red Phalarope,Phalaropus fulicarius,,82,21
Common Sandpiper,Actitis hypoleucos,,1524,271
Spotted Sandpiper,Actitis macularius,,155,32
Green Sandpiper,Tringa ochropus,,1111,238
Solitary Sandpiper,Tringa solitaria,,167,22
Wandering Tattler,Tringa incana,,22,1
Grey-tailed Tattler,Tringa brevipes,,51,3
Lesser Yellowlegs,Tringa flavipes,,242,62
Willet,Tringa semipalmata,,167,70
Common Redshank,Tringa totanus,,1299,1259
Marsh Sandpiper,Tringa stagnatilis,,118,17
Wood Sandpiper,Tringa glareola,,796,377
Spotted Redshank,Tringa erythropus,,330,66
Common Greenshank,Tringa nebularia,,975,298
Nordmann's Greenshank,Tringa guttifer,,8,1
Greater Yellowlegs,Tringa melanoleuca,,220,62
Crab-plover,Dromas ardeola,,46,13
Cream-colored Courser,Cursorius cursor,,15,0
Somali Courser,Cursorius somalensis,,2,0
Burchell's Courser,Cursorius rufus,,6,0
Temminck's Courser,Cursorius temminckii,,8,0
Indian Courser,Cursorius coromandelicus,,1,0
Double-banded Courser,Rhinoptilus africanus,,20,0
Three-banded Courser,Rhinoptilus cinctus,,10,0
Bronze-winged Courser,Rhinoptilus chalcopterus,,4,0
Jerdon's Courser,Rhinoptilus bitorquatus,,1,0
Australian Pratincole,Stiltia isabella,,6,0
Collared Pratincole,Glareola pratincola,,122,47
Oriental Pratincole,Glareola maldivarum,,37,9
Black-winged Pratincole,Glareola nordmanni,,26,0
Madagascar Pratincole,Glareola ocularis,,9,0
Rock Pratincole,Glareola nuchalis,,12,0
Grey Pratincole,Glareola cinerea,,1,0
Small Pratincole,Glareola lactea,,19,5
Brown Noddy,Anous stolidus,,38,21
Lesser Noddy,Anous tenuirostris,,16,18
Black Noddy,Anous minutus,,26,43
Blue Noddy,Anous ceruleus,,2,3
Grey Noddy,Anous albivitta,,0,0
White Tern,Gygis alba,,55,107
Black Skimmer,Rynchops niger,,113,50
African Skimmer,Rynchops flavirostris,,11,3
Indian Skimmer,Rynchops albicollis,,3,0
Swallow-tailed Gull,Creagrus furcatus,,14,2
Black-legged Kittiwake,Rissa tridactyla,,215,156
Red-legged Kittiwake,Rissa brevirostris,,4,0
Ivory Gull,Pagophila eburnea,,2,0
Sabine's Gull,Xema sabini,,18,0
Slender-billed Gull,Chroicocephalus genei,,188,93
Bonaparte's Gull,Chroicocephalus philadelphia,,70,5
Silver Gull,Chroicocephalus novaehollandiae,,44,50
Black-billed Gull,Chroicocephalus bulleri,,10,3
Andean Gull,Chroicocephalus serranus,,56,3
Brown-headed Gull,Chroicocephalus brunnicephalus,,11,1
Brown-hooded Gull,Chroicocephalus maculipennis,,30,8
Black-headed Gull,Chroicocephalus ridibundus,,1173,2357
Grey-headed Gull,Chroicocephalus cirrocephalus,,55,39
Hartlaub's Gull,Chroicocephalus hartlaubii,,10,6
Saunders's Gull,Chroicocephalus saundersi,,18,0
Little Gull,Hydrocoloeus minutus,,126,72
Ross's Gull,Rhodostethia rosea,,20,1
Dolphin Gull,Leucophaeus scoresbii,,10,0
Lava Gull,Leucophaeus fuliginosus,,5,0
Laughing Gull,Leucophaeus atricilla,,117,127
Franklin's Gull,Leucophaeus pipixcan,,62,52
Grey Gull,Leucophaeus modestus,,10,7
Relict Gull,Ichthyaetus relictus,,1,2
Audouin's Gull,Ichthyaetus audouinii,,58,5
Mediterranean Gull,Ichthyaetus melanocephalus,,267,57
Pallas's Gull,Ichthyaetus ichthyaetus,,26,9
White-eyed Gull,Ichthyaetus leucophthalmus,,17,0
Sooty Gull,Ichthyaetus hemprichii,,24,1
Pacific Gull,Larus pacificus,,4,2
Belcher's Gull,Larus belcheri,,9,5
Olrog's Gull,Larus atlanticus,,3,0
Black-tailed Gull,Larus crassirostris,,19,16
Heermann's Gull,Larus heermanni,,43,7
Common Gull,Larus canus,,528,784
Short-billed Gull,Larus brachyrhynchus,,44,5
Ring-billed Gull,Larus delawarensis,,113,113
California Gull,Larus californicus,,53,35
Great Black-backed Gull,Larus marinus,,252,87
Kelp Gull,Larus dominicanus,,82,47
Glaucous-winged Gull,Larus glaucescens,,54,41
Western Gull,Larus occidentalis,,44,46
Yellow-footed Gull,Larus livens,,20,2
Glaucous Gull,Larus hyperboreus,,57,34
Iceland Gull,Larus glaucoides,,26,0
European Herring Gull,Larus argentatus,,572,1949
American Herring Gull,Larus smithsonianus,,54,40
Vega Gull,Larus vegae,,85,68
Caspian Gull,Larus cachinnans,,132,43
Yellow-legged Gull,Larus michahellis,,492,500
Armenian Gull,Larus armenicus,,9,2
Slaty-backed Gull,Larus schistisagus,,21,8
Lesser Black-backed Gull,Larus fuscus,,286,319
Gull-billed Tern,Gelochelidon nilotica,,207,58
Australian Tern,Gelochelidon macrotarsa,,2,0
Caspian Tern,Hydroprogne caspia,,331,70
Royal Tern,Thalasseus maximus,,128,43
Greater Crested Tern,Thalasseus bergii,,49,10
Lesser Crested Tern,Thalasseus bengalensis,,27,10
West African Crested Tern,Thalasseus albididorsalis,,7,11
Chinese Crested Tern,Thalasseus bernsteini,,3,0
Sandwich Tern,Thalasseus sandvicensis,,496,171
Cabot's Tern,Thalasseus acuflavidus,,48,3
Elegant Tern,Thalasseus elegans,,107,37
Little Tern,Sternula albifrons,,356,93
Saunders's Tern,Sternula saundersi,,37,9
Least Tern,Sternula antillarum,,133,58
Yellow-billed Tern,Sternula superciliaris,,41,6
Peruvian Tern,Sternula lorata,,6,0
Fairy Tern,Sternula nereis,,6,0
Damara Tern,Sternula balaenarum,,10,0
Aleutian Tern,Onychoprion aleuticus,,17,2
Spectacled Tern,Onychoprion lunatus,,2,1
Bridled Tern,Onychoprion anaethetus,,29,0
Sooty Tern,Onychoprion fuscatus,,37,18
River Tern,Sterna aurantia,,18,7
Roseate Tern,Sterna dougallii,,165,29
White-fronted Tern,Sterna striata,,13,11
Black-naped Tern,Sterna sumatrana,,22,1
South American Tern,Sterna hirundinacea,,22,1
Common Tern,Sterna hirundo,,731,390
White-cheeked Tern,Sterna repressa,,19,4
Arctic Tern,Sterna paradisaea,,381,267
Antarctic Tern,Sterna vittata,,16,2
Kerguelen Tern,Sterna virgata,,2,0
Forster's Tern,Sterna forsteri,,97,43
Snowy-crowned Tern,Sterna trudeaui,,12,2
Black-bellied Tern,Sterna acuticauda,,3,0
Black-fronted Tern,Chlidonias albostriatus,,7,0
Whiskered Tern,Chlidonias hybrida,,252,146
White-winged Tern,Chlidonias leucopterus,,135,49
Black Tern,Chlidonias niger,,251,128
Large-billed Tern,Phaetusa simplex,,85,12
Inca Tern,Larosterna inca,,12,1
Chilean Skua,Stercorarius chilensis,,5,0
South Polar Skua,Stercorarius maccormicki,,12,0
Brown Skua,Stercorarius antarcticus,,16,2
Great Skua,Stercorarius skua,,54,1
Pomarine Jaeger,Stercorarius pomarinus,,7,2
Parasitic Jaeger,Stercorarius parasiticus,,78,8
Long-tailed Jaeger,Stercorarius longicaudus,,63,6
Little Auk,Alle alle,,12,1
Thick-billed Murre,Uria lomvia,,28,5
Common Murre,Uria aalge,,139,152
Razorbill,Alca torda,,101,67
Great Auk,Pinguinus impennis,Extinct,0,0
Black Guillemot,Cepphus grylle,,56,11
Pigeon Guillemot,Cepphus columba,,22,2
Spectacled Guillemot,Cepphus carbo,,0,0
Marbled Murrelet,Brachyramphus marmoratus,,19,0
Long-billed Murrelet,Brachyramphus perdix,,0,0
Kittlitz's Murrelet,Brachyramphus brevirostris,,0,0
Guadalupe Murrelet,Synthliboramphus hypoleucus,,0,0
Scripps's Murrelet,Synthliboramphus scrippsi,,1,0
Craveri's Murrelet,Synthliboramphus craveri,,6,0
Ancient Murrelet,Synthliboramphus antiquus,,4,0
Japanese Murrelet,Synthliboramphus wumizusume,,2,0
Cassin's Auklet,Ptychoramphus aleuticus,,3,2
Parakeet Auklet,Aethia psittacula,,5,4
Least Auklet,Aethia pusilla,,11,11
Whiskered Auklet,Aethia pygmaea,,1,0
Crested Auklet,Aethia cristatella,,4,1
Rhinoceros Auklet,Cerorhinca monocerata,,0,0
Atlantic Puffin,Fratercula arctica,,60,0
Horned Puffin,Fratercula corniculata,,1,0
Tufted Puffin,Fratercula cirrhata,,0,0
Kagu,Rhynochetos jubatus,,15,0
Sunbittern,Eurypyga helias,,93,14
Red-billed Tropicbird,Phaethon aethereus,,25,5
Red-tailed Tropicbird,Phaethon rubricauda,,46,38
White-tailed Tropicbird,Phaethon lepturus,,29,17
Red-throated Loon,Gavia stellata,,260,66
Black-throated Loon,Gavia arctica,,93,17
Pacific Loon,Gavia pacifica,,22,3
Common Loon,Gavia immer,,156,35
Yellow-billed Loon,Gavia adamsii,,9,1
King Penguin,Aptenodytes patagonicus,,37,12
Emperor Penguin,Aptenodytes forsteri,,5,0
Adelie Penguin,Pygoscelis adeliae,,22,0
Chinstrap Penguin,Pygoscelis antarcticus,,21,5
Gentoo Penguin,Pygoscelis papua,,26,8
Little Penguin,Eudyptula minor,,14,3
Galapagos Penguin,Spheniscus mendiculus,,1,0
Humboldt Penguin,Spheniscus humboldti,,2,0
Magellanic Penguin,Spheniscus magellanicus,,15,3
African Penguin,Spheniscus demersus,,25,1
Yellow-eyed Penguin,Megadyptes antipodes,,2,1
Macaroni Penguin,Eudyptes chrysolophus,,3,0
Royal Penguin,Eudyptes schlegeli,,10,0
Northern Rockhopper Penguin,Eudyptes moseleyi,,1,0
Southern Rockhopper Penguin,Eudyptes chrysocome,,13,3
Fiordland Penguin,Eudyptes pachyrhynchus,,2,0
Snares Penguin,Eudyptes robustus,,4,0
Erect-crested Penguin,Eudyptes sclateri,,2,0
Wilson's Storm Petrel,Oceanites oceanicus,,11,2
Elliot's Storm Petrel,Oceanites gracilis,,15,0
Pincoya Storm Petrel,Oceanites pincoyae,,0,0
Grey-backed Storm Petrel,Garrodia nereis,,0,0
White-faced Storm Petrel,Pelagodroma marina,,4,2
White-bellied Storm Petrel,Fregetta grallaria,,0,0
Black-bellied Storm Petrel,Fregetta tropica,,5,2
New Zealand Storm Petrel,Fregetta maoriana,,0,0
Polynesian Storm Petrel,Nesofregetta fuliginosa,,0,0
Laysan Albatross,Phoebastria immutabilis,,151,96
Black-footed Albatross,Phoebastria nigripes,,22,21
Waved Albatross,Phoebastria irrorata,,7,2
Short-tailed Albatross,Phoebastria albatrus,,0,0
Wandering Albatross,Diomedea exulans,,5,0
Antipodean Albatross,Diomedea antipodensis,,11,3
Amsterdam Albatross,Diomedea amsterdamensis,,0,0
Tristan Albatross,Diomedea dabbenena,,1,0
Southern Royal Albatross,Diomedea epomophora,,7,1
Northern Royal Albatross,Diomedea sanfordi,,1,0
Sooty Albatross,Phoebetria fusca,,0,0
Light-mantled Albatross,Phoebetria palpebrata,,7,1
Black-browed Albatross,Thalassarche melanophris,,17,3
Campbell Albatross,Thalassarche impavida,,0,0
Shy Albatross,Thalassarche cauta,,17,1
Chatham Albatross,Thalassarche eremita,,2,0
Salvin's Albatross,Thalassarche salvini,,9,2
Grey-headed Albatross,Thalassarche chrysostoma,,0,0
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,,1,0
Indian Yellow-nosed Albatross,Thalassarche carteri,,1,0
Buller's Albatross,Thalassarche bulleri,,2,4
European Storm Petrel,Hydrobates pelagicus,,77,10
Fork-tailed Storm Petrel,Hydrobates furcatus,,3,0
Hornby's Storm Petrel,Hydrobates hornbyi,,4,0
Swinhoe's Storm Petrel,Hydrobates monorhis,,7,1
Matsudaira's Storm Petrel,Hydrobates matsudairae,,0,0
Leach's Storm Petrel,Hydrobates leucorhous,,16,0
Townsend's Storm Petrel,Hydrobates socorroensis,,0,0
Ainley's Storm Petrel,Hydrobates cheimomnestes,,0,0
Ashy Storm Petrel,Hydrobates homochroa,,1,0
Band-rumped Storm Petrel,Hydrobates castro,,19,8
Monteiro's Storm Petrel,Hydrobates monteiroi,,5,0
Cape Verde Storm Petrel,Hydrobates jabejabe,,1,2
Wedge-rumped Storm Petrel,Hydrobates tethys,,0,0
Black Storm Petrel,Hydrobates melania,,0,0
Guadalupe Storm Petrel,Hydrobates macrodactylus,Extinct,0,0
Markham's Storm Petrel,Hydrobates markhami,,5,0
Tristram's Storm Petrel,Hydrobates tristrami,,1,0
Least Storm Petrel,Hydrobates microsoma,,0,0
Southern Giant Petrel,Macronectes giganteus,,1,2
Northern Giant Petrel,Macronectes halli,,12,5
Northern Fulmar,Fulmarus glacialis,,92,31
Southern Fulmar,Fulmarus glacialoides,,1,0
Antarctic Petrel,Thalassoica antarctica,,5,0
Cape Petrel,Daption capense,,10,14
Snow Petrel,Pagodroma nivea,,9,0
Blue Petrel,Halobaena caerulea,,3,0
Broad-billed Prion,Pachyptila vittata,,6,4
Salvin's Prion,Pachyptila salvini,,0,0
Antarctic Prion,Pachyptila desolata,,4,1
Slender-billed Prion,Pachyptila belcheri,,2,0
Fairy Prion,Pachyptila turtur,,6,1
Fulmar Prion,Pachyptila crassirostris,,3,0
Kerguelen Petrel,Aphrodroma brevirostris,,7,0
Great-winged Petrel,Pterodroma macroptera,,0,0
White-headed Petrel,Pterodroma lessonii,,3,0
Grey-faced Petrel,Pterodroma gouldi,,6,3
Atlantic Petrel,Pterodroma incerta,,1,1
Providence Petrel,Pterodroma solandri,,2,0
Magenta Petrel,Pterodroma magentae,,16,0
Murphy's Petrel,Pterodroma ultima,,0,0
Soft-plumaged Petrel,Pterodroma mollis,,1,2
Zino's Petrel,Pterodroma madeira,,40,0
Fea's Petrel,Pterodroma feae,,3,0
Desertas Petrel,Pterodroma deserta,,3,0
Bermuda Petrel,Pterodroma cahow,,1,0
Black-capped Petrel,Pterodroma hasitata,,0,0
Jamaican Petrel,Pterodroma caribbaea,Extinct,0,0
Juan Fernandez Petrel,Pterodroma externa,,1,0
Vanuatu Petrel,Pterodroma occulta,,0,0
Kermadec Petrel,Pterodroma neglecta,,3,1
Herald Petrel,Pterodroma heraldica,,12,0
Trindade Petrel,Pterodroma arminjoniana,,4,1
Henderson Petrel,Pterodroma atrata,,0,0
Phoenix Petrel,Pterodroma alba,,1,0
Barau's Petrel,Pterodroma baraui,,4,0
Hawaiian Petrel,Pterodroma sandwichensis,,4,0
Galapagos Petrel,Pterodroma phaeopygia,,4,0
Mottled Petrel,Pterodroma inexpectata,,1,0
White-necked Petrel,Pterodroma cervicalis,,2,0
Black-winged Petrel,Pterodroma nigripennis,,6,3
Chatham Petrel,Pterodroma axillaris,,2,0
Bonin Petrel,Pterodroma hypoleuca,,35,42
Gould's Petrel,Pterodroma leucoptera,,1,0
Collared Petrel,Pterodroma brevipes,,0,0
Cook's Petrel,Pterodroma cookii,,4,0
De Filippi's Petrel,Pterodroma defilippiana,,0,0
Stejneger's Petrel,Pterodroma longirostris,,0,0
Pycroft's Petrel,Pterodroma pycrofti,,0,0
Mascarene Petrel,Pseudobulweria aterrima,,0,0
St. Helena Petrel,Pseudobulweria rupinarum,Extinct,0,0
Tahiti Petrel,Pseudobulweria rostrata,,2,0
Beck's Petrel,Pseudobulweria becki,,0,0
Fiji Petrel,Pseudobulweria macgillivrayi,,0,0
Grey Petrel,Procellaria cinerea,,5,0
White-chinned Petrel,Procellaria aequinoctialis,,11,0
Spectacled Petrel,Procellaria conspicillata,,0,0
Black Petrel,Procellaria parkinsoni,,2,0
Westland Petrel,Procellaria westlandica,,6,0
Streaked Shearwater,Calonectris leucomelas,,2,0
Scopoli's Shearwater,Calonectris diomedea,,42,2
Cory's Shearwater,Calonectris borealis,,127,20
Cape Verde Shearwater,Calonectris edwardsii,,1,0
Wedge-tailed Shearwater,Ardenna pacifica,,33,2
Buller's Shearwater,Ardenna bulleri,,0,0
Sooty Shearwater,Ardenna grisea,,14,8
Short-tailed Shearwater,Ardenna tenuirostris,,4,0
Pink-footed Shearwater,Ardenna creatopus,,24,1
Flesh-footed Shearwater,Ardenna carneipes,,10,0
Great Shearwater,Ardenna gravis,,3,1
Christmas Shearwater,Puffinus nativitatis,,6,0
Manx Shearwater,Puffinus puffinus,,255,25
Yelkouan Shearwater,Puffinus yelkouan,,12,2
Balearic Shearwater,Puffinus mauretanicus,,7,0
Bryan's Shearwater,Puffinus bryani,,0,0
Black-vented Shearwater,Puffinus opisthomelas,,1,0
Townsend's Shearwater,Puffinus auricularis,,8,0
Newell's Shearwater,Puffinus newelli,,1,0
Rapa Shearwater,Puffinus myrtae,,0,0
Fluttering Shearwater,Puffinus gavia,,4,2
Hutton's Shearwater,Puffinus huttoni,,1,0
Audubon's Shearwater,Puffinus lherminieri,,2,0
Persian Shearwater,Puffinus persicus,,1,0
Tropical Shearwater,Puffinus bailloni,,20,0
Galapagos Shearwater,Puffinus subalaris,,4,0
Bannerman's Shearwater,Puffinus bannermani,,0,0
Heinroth's Shearwater,Puffinus heinrothi,,0,0
Little Shearwater,Puffinus assimilis,,4,1
Subantarctic Shearwater,Puffinus elegans,,0,0
Barolo Shearwater,Puffinus baroli,,26,3
Boyd's Shearwater,Puffinus boydi,,1,0
Peruvian Diving Petrel,Pelecanoides garnotii,,0,0
Magellanic Diving Petrel,Pelecanoides magellani,,0,0
South Georgia Diving Petrel,Pelecanoides georgicus,,1,2
Common Diving Petrel,Pelecanoides urinatrix,,4,5
Bulwer's Petrel,Bulweria bulwerii,,9,0
Olson's Petrel,Bulweria bifax,Extinct,0,0
Jouanin's Petrel,Bulweria fallax,,0,0
Wood Stork,Mycteria americana,,19,7
Milky Stork,Mycteria cinerea,,1,0
Yellow-billed Stork,Mycteria ibis,,2,0
Painted Stork,Mycteria leucocephala,,16,5
Asian Openbill,Anastomus oscitans,,6,1
African Openbill,Anastomus lamelligerus,,1,0
Black Stork,Ciconia nigra,,29,0
Abdim's Stork,Ciconia abdimii,,0,0
Woolly-necked Stork,Ciconia episcopus,,0,0
Storm's Stork,Ciconia stormi,,0,0
Maguari Stork,Ciconia maguari,,3,0
White Stork,Ciconia ciconia,,137,43
Oriental Stork,Ciconia boyciana,,2,1
Black-necked Stork,Ephippiorhynchus asiaticus,,0,0
Saddle-billed Stork,Ephippiorhynchus senegalensis,,0,0
Jabiru,Jabiru mycteria,,20,2
Lesser Adjutant,Leptoptilos javanicus,,1,0
Greater Adjutant,Leptoptilos dubius,,0,0
Marabou Stork,Leptoptilos crumenifer,,14,1
Ascension Frigatebird,Fregata aquila,,1,0
Christmas Frigatebird,Fregata andrewsi,,3,0
Magnificent Frigatebird,Fregata magnificens,,18,1
Great Frigatebird,Fregata minor,,39,4
Lesser Frigatebird,Fregata ariel,,0,0
Northern Gannet,Morus bassanus,,89,67
Cape Gannet,Morus capensis,,11,1
Australasian Gannet,Morus serrator,,4,0
Abbott's Booby,Papasula abbotti,,5,0
Blue-footed Booby,Sula nebouxii,,12,2
Peruvian Booby,Sula variegata,,5,0
Masked Booby,Sula dactylatra,,32,0
Nazca Booby,Sula granti,,15,6
Red-footed Booby,Sula sula,,47,13
Brown Booby,Sula leucogaster,,24,1
Oriental Darter,Anhinga melanogaster,,18,4
African Darter,Anhinga rufa,,10,2
Australasian Darter,Anhinga novaehollandiae,,14,8
Anhinga,Anhinga anhinga,,69,25
Pygmy Cormorant,Microcarbo pygmaeus,,11,2
Reed Cormorant,Microcarbo africanus,,3,3
Crowned Cormorant,Microcarbo coronatus,,0,0
Little Cormorant,Microcarbo niger,,5,2
Little Pied Cormorant,Microcarbo melanoleucos,,2,0
Red-legged Cormorant,Poikilocarbo gaimardi,,7,0
Brandt's Cormorant,Urile penicillatus,,7,1
Red-faced Cormorant,Urile urile,,4,0
Pelagic Cormorant,Urile pelagicus,,6,0
Spectacled Cormorant,Urile perspicillatus,Extinct,0,0
Bank Cormorant,Phalacrocorax neglectus,,0,0
Socotra Cormorant,Phalacrocorax nigrogularis,,6,0
